Symbol,Q3 2019 Share Price,Q4 2019 Share Price,Q1 2020 Share Price,Q2 2020 Share Price,Q3 2020 Share Price
MAA,130.01,131.86,103.03,114.67,115.95
MHK,124.07,136.38,76.24,101.76,97.59
TAP,57.5,53.9,39.01,34.36,33.56
MDLZ,55.32,55.08,50.08,51.13,57.45
MNST,58.06,63.55,56.26,69.32,80.2
MCO,204.83,237.41,211.5,274.73,289.85
MS,42.67,51.12,34,48.3,48.35
MOS,20.5,21.64,10.82,12.51,18.27
MSI,170.41,161.14,132.92,140.13,156.81
MSCI,217.75,258.18,288.96,333.82,356.78
MYL,19.78,20.1,14.91,16.08,14.83
NDAQ,99.35,107.1,94.95,119.47,122.71
NOV,21.2,25.05,9.83,12.25,9.06
NTAP,55.88,53.4,43.77,44.3,
NFLX,267.62,323.57,375.5,455.04,500.03
NWL,18.72,19.22,13.28,15.88,17.16
NEM,37.92,43.45,45.28,61.74,63.45
NWSA,13.92,14.14,8.975,11.86,14.02
NWS,14.295,14.51,8.99,11.95,13.98
NEE,58.2475,60.54,60.155,60.0425,69.39
NLSN,21.25,20.3,12.54,14.86,14.18
NKE,93.49,89.38,98.58,111.89,
NI,29.92,27.84,24.97,22.74,22
NSC,179.66,194.13,146,175.57,213.99
NTRS,93.32,106.24,75.46,79.34,77.97
NOC,374.79,343.97,302.55,307.44,315.49
NLOK,23.63,25.52,18.71,19.83,20.84
NCLH,51.77,58.41,10.96,16.43,17.11
NRG,39.6,39.75,27.26,32.56,30.74
NUE,50.91,56.28,36.02,41.41,44.86
NVDA,201.02,236.43,292.28,424.59,
NVR,3717.35,3808.41,2569.11,3258.75,4083.12
